District,Unit  ,Inci_no   ,incid_descrip,Alm_d  m            ,Disp_d    m           ,No  if_d    m          ,Roll_d    m           ,Arv_d    m            ,In_d    m             ,City                     ,Zip       ,Shift,geopoint
Hill Section,E1,18-0007027,EMS call,11/8/18 19:31,11/8/18 19:31,11/8/18 19:32,11/8/18 19:34,11/8/18 19:46,11/8/18 19:59,BURLINGTON,5401,B,"44.4685583627,-73.1793436281"
New North End,L4,19-0006407,EMS call,10/11/19 14:29,10/11/19 14:29,10/11/19 14:29,10/11/19 14:30,10/11/19 14:33,10/11/19 14:43,BURLINGTON,5408,C,"44.5315236033,-73.2761964388"
Downtown,E1,19-0007147,Dispatched and canceled en route,11/9/19 23:20,11/9/19 23:20,11/9/19 23:21,11/9/19 23:23,11/9/19 23:24,11/9/19 23:25,BURLINGTON,5401,B,"44.4926561685,-73.2001868434"
New North End,L4,19-0004019,EMS call,7/4/19 10:17,7/4/19 10:17,7/4/19 10:18,7/4/19 10:20,7/4/19 10:22,7/4/19 10:34,BURLINGTON,5408,C,"44.5067561325,-73.2449824355"
Downtown,E1,19-0007228,EMS call,11/13/19 9:36,11/13/19 9:36,11/13/19 9:36,11/13/19 9:37,11/13/19 9:38,11/13/19 9:50,BURLINGTON,5401,C,"44.4592017184,-73.2127347223"
New North End,L4,19-0004163,EMS call,7/11/19 6:59,7/11/19 6:59,7/11/19 7:00,7/11/19 7:00,7/11/19 7:07,7/11/19 7:07,BURLINGTON,5408,A,"44.5263171084,-73.2401646695"
Old North End,22A1,19-0002354,EMS call where injured party has been transported by a non-fire service agency or left the scene prior to arrival,4/19/19 20:35,4/19/19 20:35,4/19/19 20:37,4/19/19 20:49,4/19/19 20:49,4/19/19 22:30,BURLINGTON,5401,B,"44.4980774356,-73.2332073061"
New North End,L4,19-0001446,EMS call,3/8/19 23:07,3/8/19 23:07,3/8/19 23:07,3/8/19 23:10,3/8/19 23:15,3/8/19 23:23,BURLINGTON,5408,B,"44.4892018323,-73.2515413616"
Downtown,T1,19-0002588,"Good intent call, other",4/30/19 14:49,4/30/19 14:49,4/30/19 14:50,4/30/19 14:50,4/30/19 14:50,4/30/19 14:52,BURLINGTON,5401,A,"44.4761423536,-73.2377421378"
New North End,L4,19-0001617,EMS call,3/17/19 9:30,3/17/19 9:30,3/17/19 9:30,3/17/19 9:32,3/17/19 9:34,3/17/19 9:51,BURLINGTON,5408,B,"44.5279299725,-73.2768553241"
Downtown,E1,19-0005682,EMS call,9/11/19 21:15,9/11/19 21:15,9/11/19 21:15,9/11/19 21:16,9/11/19 21:16,9/11/19 21:59,BURLINGTON,5401,C,"44.491904956,-73.202719986"
Downtown,L4,19-0001719,Smoke detector activation due to malfunction,3/22/19 8:14,3/22/19 8:14,3/22/19 8:14,3/22/19 8:17,3/22/19 8:19,3/22/19 8:23,BURLINGTON,5401,A,"44.4598159034,-73.1852381751"
Downtown,E1,19-0005752,EMS call,9/14/19 11:12,9/14/19 11:12,9/14/19 11:12,9/14/19 11:13,9/14/19 11:13,9/14/19 11:23,BURLINGTON,5401,C,"44.4972728174,-73.2179965963"
New North End,L4,19-0001032,"Rescue and EMS incident, other",2/16/19 16:30,2/16/19 16:30,2/16/19 16:31,2/16/19 16:34,2/16/19 16:35,2/16/19 17:02,BURLINGTON,5408,C,"44.4928144012,-73.2494412111"
Downtown,T1,19-0005859,EMS call,9/19/19 6:52,9/19/19 6:52,9/19/19 6:52,9/19/19 6:54,9/19/19 6:56,9/19/19 7:01,BURLINGTON,5401,B,"44.490297895,-73.2359014533"
New North End,L4,19-0001179,EMS call,2/23/19 17:42,2/23/19 17:42,2/23/19 17:43,2/23/19 17:46,2/23/19 17:49,2/23/19 18:35,BURLINGTON,5408,A,"44.5331336324,-73.2455974762"
Hill Section,T1,19-0005878,Smoke detector activation due to malfunction,9/20/19 0:35,9/20/19 0:35,9/20/19 0:35,9/20/19 0:37,9/20/19 0:40,9/20/19 0:45,BURLINGTON,5401,B,"44.4571852438,-73.2072251817"
New North End,L4,19-0002869,Smoke detector activation due to malfunction,5/15/19 5:12,5/15/19 5:12,5/15/19 5:17,5/15/19 5:17,5/15/19 5:31,5/15/19 5:38,BURLINGTON,5408,A,"44.508420167,-73.2503106657"
Downtown,E1,19-0005912,EMS call,9/21/19 5:59,9/21/19 5:59,9/21/19 6:00,9/21/19 6:01,9/21/19 6:02,9/21/19 6:06,BURLINGTON,5401,A,"44.4734792065,-73.1884767096"
New North End,L4,18-0007079,EMS call,11/11/18 7:52,11/11/18 7:52,11/11/18 7:52,11/11/18 7:54,11/11/18 7:56,11/11/18 8:09,BURLINGTON,5408,B,"44.4995976384,-73.246792299"
Downtown,E1,19-0006083,EMS call,9/28/19 17:16,9/28/19 17:16,9/28/19 17:16,9/28/19 17:17,9/28/19 17:19,9/28/19 17:25,BURLINGTON,5401,B,"44.4674281135,-73.1947863753"
Downtown,L4,19-0001823,EMS call where injured party has been transported by a non-fire service agency or left the scene prior to arrival,3/27/19 10:58,3/27/19 10:58,3/27/19 10:59,3/27/19 11:00,3/27/19 11:01,3/27/19 11:16,BURLINGTON,5401,C,"44.4982036983,-73.2120248177"
Downtown,E1,19-0006892,Lock-out  Includes efforts to remove keys from locked vehicles,10/31/19 19:45,10/31/19 19:45,10/31/19 19:46,10/31/19 19:46,10/31/19 19:46,10/31/19 19:53,BURLINGTON,5401,B,"44.4737256613,-73.2371325492"
Hill Section,L4,19-0001930,Alarm system activation due to malfunction,4/1/19 5:25,4/1/19 5:25,4/1/19 5:25,4/1/19 5:28,4/1/19 5:32,4/1/19 5:42,BURLINGTON,5401,B,"44.4953695266,-73.1958084659"
Downtown,E1,19-0007135,EMS call,11/9/19 13:22,11/9/19 13:22,11/9/19 13:23,11/9/19 13:24,11/9/19 13:25,11/9/19 14:02,BURLINGTON,5401,B,"44.507658713,-73.2217298373"
New North End,L4,19-0002203,Assist invalid,4/13/19 17:51,4/13/19 17:51,4/13/19 17:51,4/13/19 17:54,4/13/19 17:55,4/13/19 18:07,BURLINGTON,5408,B,"44.5173087268,-73.2653125947"
Downtown,E1,19-0007138,EMS call,11/9/19 15:22,11/9/19 15:22,11/9/19 15:23,11/9/19 15:24,11/9/19 15:25,11/9/19 15:43,BURLINGTON,5401,B,"44.4937877954,-73.1986294983"
BIAP,A1,19-0001070,EMS call,2/18/19 6:42,2/18/19 6:42,2/18/19 6:42,2/18/19 6:43,2/18/19 6:54,2/18/19 8:07,SOUTH BURLINGTON,5403,B,"44.4607165291,-73.1446553553"
Downtown,T1,18-0005554,EMS call,9/9/18 19:57,9/9/18 19:57,9/9/18 19:58,9/9/18 19:59,9/9/18 20:00,9/9/18 20:29,BURLINGTON,5401,B,"44.4689233516,-73.1885055172"
SB,A1,19-0007398,EMS call,11/20/19 6:03,11/20/19 6:03,11/20/19 6:05,11/20/19 6:06,11/20/19 6:14,11/20/19 7:04,SOUTH BURLINGTON,5403,A,"44.4290009771,-73.1874770072"
Downtown,E1,18-0005555,Smoke detector activation due to malfunction,9/10/18 0:45,9/10/18 0:45,9/10/18 0:46,9/10/18 0:49,9/10/18 0:52,9/10/18 1:02,BURLINGTON,5401,B,"44.473789191,-73.237335335"
Downtown,A1,19-0003476,Dispatched and canceled en route,6/11/19 10:36,6/11/19 10:36,6/11/19 10:36,6/11/19 10:38,6/11/19 10:38,6/11/19 10:40,BURLINGTON,5401,A,"44.482379725,-73.2301533969"
Downtown,E1,18-0005563,EMS call,9/10/18 7:36,9/10/18 7:36,9/10/18 7:36,9/10/18 7:37,9/10/18 7:39,9/10/18 8:14,BURLINGTON,5401,C,"44.4784517727,-73.23544485"
Hill Section,A2,19-0005423,EMS call,9/1/19 13:07,9/1/19 13:07,9/1/19 13:07,9/1/19 13:08,9/1/19 13:13,9/1/19 14:10,BURLINGTON,5401,B,"44.492077287,-73.2100166451"
South End,22A1,18-0005703,EMS call,9/15/18 7:59,9/15/18 7:59,9/15/18 8:00,9/15/18 8:02,9/15/18 8:09,9/15/18 8:50,BURLINGTON,5401,B,"44.4503394741,-73.2169515511"
COL,A1,18-0007809,EMS call,12/17/18 15:27,12/17/18 15:27,12/17/18 15:31,12/17/18 15:31,12/17/18 15:38,12/17/18 16:41,COLCHESTER,5446,B,"44.4780506112,-73.1612276772"
Hill Section,T1,18-0005786,"Smoke detector activation (no fire), unintentional",9/18/18 16:41,9/18/18 16:41,9/18/18 16:41,9/18/18 16:44,9/18/18 16:51,9/18/18 16:51,BURLINGTON,5401,B,"44.4890372869,-73.2254996784"
Downtown,A2,18-0005443,EMS call,9/5/18 14:50,9/5/18 14:50,9/5/18 14:51,9/5/18 14:52,9/5/18 14:52,9/5/18 15:06,BURLINGTON,5401,A,"44.4841933757,-73.1748775919"
Hill Section,T1,18-0005882,"Smoke detector activation (no fire), unintentional",9/21/18 21:11,9/21/18 21:11,9/21/18 21:11,9/21/18 21:19,9/21/18 21:19,9/21/18 21:29,BURLINGTON,5401,B,"44.4774328168,-73.1927083487"
South End,E5,19-0000614,EMS call,1/29/19 7:21,1/29/19 7:21,1/29/19 7:21,1/29/19 7:22,1/29/19 7:23,1/29/19 7:44,BURLINGTON,5401,C,"44.4775355087,-73.2255700032"
Downtown,T1,18-0005961,EMS call,9/24/18 16:48,9/24/18 16:48,9/24/18 16:48,9/24/18 16:49,9/24/18 16:51,9/24/18 17:00,BURLINGTON,5401,B,"44.4643034186,-73.2158777142"
Downtown,E5,19-0007232,EMS call,11/13/19 11:20,11/13/19 11:20,11/13/19 11:22,11/13/19 11:22,11/13/19 11:23,11/13/19 11:35,BURLINGTON,5401,C,"44.4842246064,-73.2480240493"
Downtown,E1,18-0005964,EMS call,9/24/18 17:19,9/24/18 17:19,9/24/18 17:19,9/24/18 17:19,9/24/18 17:20,9/24/18 17:24,BURLINGTON,5401,B,"44.484514331,-73.2260373274"
South End,E5,19-0007263,EMS call,11/15/19 4:45,11/15/19 4:45,11/15/19 4:45,11/15/19 4:47,11/15/19 4:59,11/15/19 5:15,BURLINGTON,5401,B,"44.4583873321,-73.2486584825"
Downtown,E1,18-0006034,EMS call,9/27/18 11:41,9/27/18 11:41,9/27/18 11:41,9/27/18 11:42,9/27/18 11:46,9/27/18 12:01,BURLINGTON,5401,B,"44.4581211473,-73.2289244199"
South End,E5,18-0005368,Smoke detector activation due to malfunction,9/2/18 14:26,9/2/18 14:26,9/2/18 14:26,9/2/18 14:28,9/2/18 14:31,9/2/18 14:43,BURLINGTON,5401,A,"44.4755426014,-73.2247895202"
Hill Section,E1,18-0006058,EMS call where injured party has been transported by a non-fire service agency or left the scene prior to arrival,9/28/18 14:10,9/28/18 14:10,9/28/18 14:19,9/28/18 14:20,9/28/18 14:21,9/28/18 15:23,BURLINGTON,5401,C,"44.4834871903,-73.2288468186"
South End,E5,19-0006194,EMS call,10/3/19 10:22,10/3/19 10:22,10/3/19 10:22,10/3/19 10:22,10/3/19 10:28,10/3/19 10:37,BURLINGTON,5401,A,"44.4571300301,-73.1825953042"
Downtown,T1,19-0005143,"Ring or jewelry removal, without transport to hospital",8/20/19 6:00,8/20/19 6:00,8/20/19 6:00,8/20/19 6:00,8/20/19 6:00,8/20/19 6:02,BURLINGTON,5401,B,"44.4946400395,-73.222724533"
South End,E5,19-0006302,EMS call,10/7/19 14:28,10/7/19 14:28,10/7/19 14:29,10/7/19 14:31,10/7/19 14:34,10/7/19 14:39,BURLINGTON,5401,B,"44.4424807874,-73.1722419696"
Downtown,T1,19-0005465,Assist invalid,9/3/19 8:16,9/3/19 8:16,9/3/19 8:17,9/3/19 8:18,9/3/19 8:21,9/3/19 8:56,BURLINGTON,5401,A,"44.4675236603,-73.2492486973"
South End,E5,18-0007626,EMS call,12/9/18 16:45,12/9/18 16:45,12/9/18 16:46,12/9/18 16:48,12/9/18 16:51,12/9/18 17:22,BURLINGTON,5401,C,"44.4632601644,-73.2226805156"
Downtown,T1,19-0005503,Alarm system activation due to malfunction,9/4/19 16:00,9/4/19 16:00,9/4/19 16:00,9/4/19 16:02,9/4/19 16:05,9/4/19 16:07,BURLINGTON,5401,B,"44.4843728935,-73.2387232191"
South End,E5,19-0001191,EMS call,2/24/19 15:15,2/24/19 15:15,2/24/19 15:16,2/24/19 15:18,2/24/19 15:21,2/24/19 15:35,BURLINGTON,5401,B,"44.4425888975,-73.2527934211"
Old North End,T1,18-0004710,Lock-out  Includes efforts to remove keys from locked vehicles,8/6/18 10:58,8/6/18 10:58,8/6/18 10:59,8/6/18 10:59,8/6/18 11:05,8/6/18 11:13,BURLINGTON,5401,A,"44.4899865309,-73.2011774115"
South End,E5,18-0006152,Alarm system activation due to malfunction,10/2/18 3:46,10/2/18 3:46,10/2/18 3:47,10/2/18 3:49,10/2/18 3:49,10/2/18 3:53,BURLINGTON,5401,A,"44.4549505916,-73.2329723131"
Downtown,E1,18-0007498,EMS call,12/3/18 10:58,12/3/18 10:58,12/3/18 10:58,12/3/18 11:00,12/3/18 11:01,12/3/18 11:32,BURLINGTON,5401,C,"44.4894577963,-73.2057214212"
South End,E5,19-0005307,EMS call,8/28/19 6:30,8/28/19 6:30,8/28/19 6:30,8/28/19 6:31,8/28/19 6:34,8/28/19 6:56,BURLINGTON,5401,A,"44.4573509277,-73.1991699226"
Downtown,E1,18-0007573,EMS call,12/7/18 10:30,12/7/18 10:30,12/7/18 10:31,12/7/18 10:32,12/7/18 10:34,12/7/18 10:48,BURLINGTON,5401,A,"44.4913511813,-73.2376339663"
Hill Section,E5,18-0005477,EMS call,9/7/18 5:47,9/7/18 5:47,9/7/18 5:59,9/7/18 5:59,9/7/18 6:04,9/7/18 7:29,BURLINGTON,5401,C,"44.4508211407,-73.1872723934"
Downtown,T1,19-0000806,EMS call where injured party has been transported by a non-fire service agency or left the scene prior to arrival,2/6/19 8:43,2/6/19 8:43,2/6/19 8:44,2/6/19 8:45,2/6/19 8:45,2/6/19 8:52,BURLINGTON,5401,B,"44.4551641322,-73.2131533455"
Downtown,A2,19-0001221,Police matter  Includes incidents where FD is called to a scene that should be handled by the police,2/25/19 15:20,2/25/19 15:20,2/25/19 15:20,2/25/19 15:23,2/25/19 15:26,2/25/19 15:35,BURLINGTON,5401,C,"44.4761008115,-73.1775035987"
Old North End,E1,19-0000864,EMS call,2/8/19 5:02,2/8/19 5:02,2/8/19 5:02,2/8/19 5:04,2/8/19 5:06,2/8/19 5:28,BURLINGTON,5401,A,"44.4721739011,-73.2347024882"
South End,E5,19-0007109,Assist invalid,11/8/19 13:51,11/8/19 13:51,11/8/19 13:52,11/8/19 13:55,11/8/19 13:59,11/8/19 14:05,BURLINGTON,5401,A,"44.4567475046,-73.2338893406"
Downtown,R1,19-0003666,,6/19/19 5:09,6/19/19 5:09,6/19/19 5:14,6/19/19 5:14,6/19/19 5:14,6/19/19 5:22,BURLINGTON,5401,C,"44.4652685176,-73.2154841853"
South End,E5,18-0005148,EMS call,8/23/18 14:38,8/23/18 14:38,8/23/18 14:41,8/23/18 14:42,8/23/18 14:44,8/23/18 15:07,BURLINGTON,5401,C,"44.440311151,-73.1957324537"
Downtown,6A1,19-0004290,EMS call,7/16/19 5:22,7/16/19 5:22,7/16/19 5:24,7/16/19 5:27,7/16/19 5:34,7/16/19 7:45,BURLINGTON,5401,C,"44.4702404864,-73.2532186413"
South End,E5,18-0005421,"Smoke detector activation (no fire), unintentional",9/4/18 12:02,9/4/18 12:02,9/4/18 12:02,9/4/18 12:08,9/4/18 12:08,9/4/18 12:19,BURLINGTON,5401,C,"44.4459871133,-73.2026764533"
Downtown,6A1,19-0001424,EMS call,3/7/19 13:39,3/7/19 13:39,3/7/19 13:45,3/7/19 13:45,3/7/19 13:50,3/7/19 14:16,BURLINGTON,5401,A,"44.4659787891,-73.2252288425"
South End,E5,19-0005776,EMS call,9/15/19 8:13,9/15/19 8:13,9/15/19 8:13,9/15/19 8:17,9/15/19 8:17,9/15/19 8:30,BURLINGTON,5401,A,"44.4230135591,-73.2034153727"
Downtown,R1,19-0006831,EMS call,10/29/19 11:32,10/29/19 11:32,10/29/19 11:32,10/29/19 11:34,10/29/19 11:34,10/29/19 11:44,BURLINGTON,5401,C,"44.4801520846,-73.1786892695"
South End,E5,19-0006067,EMS call,9/28/19 2:05,9/28/19 2:05,9/28/19 2:05,9/28/19 2:08,9/28/19 2:10,9/28/19 2:24,BURLINGTON,5401,A,"44.4581553794,-73.2394526194"
Downtown,6A1,19-0001042,EMS call,2/17/19 5:11,2/17/19 5:11,2/17/19 5:13,2/17/19 5:17,2/17/19 5:22,2/17/19 6:08,BURLINGTON,5401,A,"44.4883841264,-73.1952912469"
New North End,E5,18-0007554,EMS call,12/6/18 8:00,12/6/18 8:00,12/6/18 8:01,12/6/18 8:02,12/6/18 8:06,12/6/18 8:32,BURLINGTON,5408,C,"44.5058910669,-73.2653858146"
Downtown,T1,19-0003457,EMS call,6/10/19 15:28,6/10/19 15:28,6/10/19 15:29,6/10/19 15:29,6/10/19 15:29,6/10/19 15:34,BURLINGTON,5401,C,"44.4896184827,-73.2210512739"
South End,E5,18-0004940,Carbon monoxide detector activation due to malfunction,8/15/18 4:08,8/15/18 4:08,8/15/18 4:09,8/15/18 4:12,8/15/18 4:14,8/15/18 4:23,BURLINGTON,5401,A,"44.4770970927,-73.2136495096"
Downtown,E1,18-0007946,EMS call,12/25/18 5:28,12/25/18 5:28,12/25/18 5:29,12/25/18 5:30,12/25/18 5:32,12/25/18 5:40,BURLINGTON,5401,A,"44.4590998452,-73.2056347111"
South End,E5,18-0004970,EMS call,8/15/18 22:22,8/15/18 22:22,8/15/18 22:22,8/15/18 22:26,8/15/18 22:28,8/15/18 22:46,BURLINGTON,5401,A,"44.4459914959,-73.1902908207"
Downtown,T1,18-0008006,Alarm system activation due to malfunction,12/28/18 4:24,12/28/18 4:24,12/28/18 4:29,12/28/18 4:29,12/28/18 4:29,12/28/18 4:58,BURLINGTON,5401,A,"44.4808848073,-73.2380613352"
South End,E5,19-0004626,EMS call,7/29/19 12:20,7/29/19 12:20,7/29/19 12:20,7/29/19 12:23,7/29/19 12:25,7/29/19 12:58,BURLINGTON,5401,A,"44.4508770786,-73.2335075439"
Downtown,E1,18-0008028,EMS call,12/29/18 10:09,12/29/18 10:09,12/29/18 10:10,12/29/18 10:10,12/29/18 10:12,12/29/18 10:25,BURLINGTON,5401,B,"44.4863556072,-73.2208828917"
New North End,E5,19-0004319,EMS call,7/17/19 6:05,7/17/19 6:05,7/17/19 6:05,7/17/19 6:07,7/17/19 6:11,7/17/19 6:18,BURLINGTON,5408,A,"44.5221507936,-73.2182659742"
Downtown,E1,18-0008045,EMS call,12/30/18 10:13,12/30/18 10:13,12/30/18 10:14,12/30/18 10:16,12/30/18 10:17,12/30/18 10:38,BURLINGTON,5401,C,"44.4594009887,-73.193951983"
South End,E5,19-0005862,Unauthorized burning,9/19/19 7:50,9/19/19 7:50,9/19/19 7:51,9/19/19 7:53,9/19/19 7:55,9/19/19 8:05,BURLINGTON,5401,B,"44.4428907818,-73.1919642062"
Downtown,E1,19-0000148,EMS call,1/8/19 23:57,1/8/19 23:57,1/8/19 23:57,1/9/19 0:00,1/9/19 0:03,1/9/19 0:19,BURLINGTON,5401,C,"44.486760727,-73.1847584621"
South End,E5,19-0006761,EMS call,10/26/19 2:45,10/26/19 2:45,10/26/19 2:46,10/26/19 2:49,10/26/19 2:50,10/26/19 3:02,BURLINGTON,5401,B,"44.4366088294,-73.2240960477"
Downtown,E1,19-0001901,EMS call,3/30/19 16:27,3/30/19 16:27,3/30/19 16:27,3/30/19 16:29,3/30/19 16:30,3/30/19 16:44,BURLINGTON,5401,C,"44.4762122989,-73.2417689179"
South End,E5,18-0007378,EMS call,11/28/18 4:12,11/28/18 4:12,11/28/18 4:13,11/28/18 4:15,11/28/18 4:16,11/28/18 4:30,BURLINGTON,5401,A,"44.4411263094,-73.2467947527"
Downtown,E1,19-0001908,EMS call,3/30/19 22:16,3/30/19 22:16,3/30/19 22:16,3/30/19 22:19,3/30/19 22:20,3/30/19 22:23,BURLINGTON,5401,C,"44.4596511893,-73.2112042762"
Downtown,E5,19-0003912,Alarm system activation due to malfunction,6/29/19 11:59,6/29/19 11:59,6/29/19 12:01,6/29/19 12:03,6/29/19 12:06,6/29/19 12:08,BURLINGTON,5401,A,"44.4790782813,-73.243329047"
Downtown,E1,19-0001910,EMS call,3/31/19 2:38,3/31/19 2:38,3/31/19 2:39,3/31/19 2:41,3/31/19 2:43,3/31/19 2:57,BURLINGTON,5401,C,"44.4627375968,-73.1903165541"
South End,E5,19-0004054,EMS call,7/6/19 8:43,7/6/19 8:43,7/6/19 8:43,7/6/19 8:44,7/6/19 8:48,7/6/19 8:58,BURLINGTON,5401,B,"44.4747977911,-73.2132923371"
Hill Section,E1,19-0001971,"Direct tie to fire department, malicious false alarm",4/3/19 7:45,4/3/19 7:45,4/3/19 7:45,4/3/19 7:47,4/3/19 7:50,4/3/19 7:53,BURLINGTON,5401,A,"44.5082146027,-73.1866048315"
COL,A2,19-0002431,EMS call,4/23/19 15:19,4/23/19 15:19,4/23/19 15:20,4/23/19 15:20,4/23/19 15:26,4/23/19 15:55,COLCHESTER,5446,C,"44.5409318014,-73.2416431244"
Downtown,E1,19-0002129,EMS call,4/10/19 17:48,4/10/19 17:48,4/10/19 17:48,4/10/19 17:50,4/10/19 17:51,4/10/19 17:59,BURLINGTON,5401,B,"44.4661082347,-73.1945054588"
South End,E5,19-0003379,EMS call,6/7/19 7:08,6/7/19 7:08,6/7/19 7:08,6/7/19 7:10,6/7/19 7:12,6/7/19 7:26,BURLINGTON,5401,C,"44.4741546548,-73.2131827809"
Old North End,A1,18-0005506,EMS call,9/8/18 12:56,9/8/18 12:56,9/8/18 12:57,9/8/18 12:58,9/8/18 13:05,9/8/18 13:51,BURLINGTON,5401,A,"44.4963721062,-73.2320295392"
South End,E5,19-0000216,Assist invalid,1/12/19 22:12,1/12/19 22:12,1/12/19 22:13,1/12/19 22:16,1/12/19 22:21,1/12/19 22:35,BURLINGTON,5401,A,"44.4559609267,-73.2347081607"
Downtown,E1,19-0002167,EMS call,4/12/19 10:10,4/12/19 10:10,4/12/19 10:11,4/12/19 10:13,4/12/19 10:13,4/12/19 10:26,BURLINGTON,5401,A,"44.4877242305,-73.2474741086"
South End,E5,19-0004933,EMS call,8/11/19 4:58,8/11/19 4:58,8/11/19 4:58,8/11/19 5:01,8/11/19 5:02,8/11/19 5:19,BURLINGTON,5401,B,"44.4391981272,-73.2022076225"
Downtown,E1,19-0005128,EMS call,8/19/19 13:53,8/19/19 13:53,8/19/19 13:53,8/19/19 13:54,8/19/19 13:55,8/19/19 14:03,BURLINGTON,5401,A,"44.4552480324,-73.212346222"
South End,E5,19-0006288,EMS call,10/7/19 3:16,10/7/19 3:16,10/7/19 3:18,10/7/19 3:20,10/7/19 3:23,10/7/19 3:51,BURLINGTON,5401,B,"44.4432049417,-73.2252000682"
Hill Section,22A1,19-0005396,EMS call where injured party has been transported by a non-fire service agency or left the scene prior to arrival,8/31/19 11:42,8/31/19 11:42,8/31/19 11:44,8/31/19 11:46,8/31/19 11:51,8/31/19 12:29,BURLINGTON,5401,A,"44.4650929393,-73.2142343795"
South End,E5,18-0007570,EMS call,12/7/18 7:29,12/7/18 7:29,12/7/18 7:30,12/7/18 7:33,12/7/18 7:37,12/7/18 7:53,BURLINGTON,5401,A,"44.4786320787,-73.2105940909"
Downtown,E1,18-0005580,EMS call,9/11/18 2:12,9/11/18 2:12,9/11/18 2:12,9/11/18 2:16,9/11/18 2:18,9/11/18 2:27,BURLINGTON,5401,C,"44.452784502,-73.2034029247"
Downtown,E6,18-0004609,"Smoke detector activation (no fire), unintentional",8/2/18 12:21,8/2/18 12:21,8/2/18 12:22,8/2/18 12:25,8/2/18 12:28,8/2/18 12:31,BURLINGTON,5401,C,"44.4932771238,-73.238359009"
Downtown,T1,18-0005663,"Smoke detector activation (no fire), unintentional",9/14/18 5:02,9/14/18 5:02,9/14/18 5:02,9/14/18 5:06,9/14/18 5:06,9/14/18 5:31,BURLINGTON,5401,A,"44.4753431654,-73.2439236017"
Downtown,E6,18-0007145,Smoke detector activation due to malfunction,11/15/18 7:55,11/15/18 7:55,11/15/18 7:56,11/15/18 7:56,11/15/18 7:56,11/15/18 8:19,BURLINGTON,5401,C,"44.4911750073,-73.2265684944"
Downtown,T1,18-0005689,EMS call,9/14/18 19:14,9/14/18 19:14,9/14/18 19:15,9/14/18 19:15,9/14/18 19:17,9/14/18 19:32,BURLINGTON,5401,A,"44.4959929318,-73.2386666418"
New North End,E6,19-0001990,EMS call,4/4/19 7:27,4/4/19 7:27,4/4/19 7:27,4/4/19 7:29,4/4/19 7:31,4/4/19 7:38,BURLINGTON,5408,B,"44.4885649234,-73.2474114913"
Downtown,E1,18-0005712,EMS call,9/15/18 18:55,9/15/18 18:55,9/15/18 18:55,9/15/18 18:58,9/15/18 18:58,9/15/18 19:16,BURLINGTON,5401,B,"44.4640343778,-73.2429700428"
New North End,E6,18-0005481,EMS call,9/7/18 9:58,9/7/18 9:58,9/7/18 9:59,9/7/18 10:00,9/7/18 10:04,9/7/18 10:40,BURLINGTON,5408,C,"44.5060413149,-73.2650250524"
Old North End,A1,19-0006961,"Good intent call, other",11/2/19 9:42,11/2/19 9:42,11/2/19 9:43,11/2/19 9:44,11/2/19 9:46,11/2/19 9:46,BURLINGTON,5401,A,"44.4777857232,-73.2391768225"
South End,E6,18-0006563,Carbon monoxide detector activation due to malfunction,10/19/18 2:40,10/19/18 2:40,10/19/18 2:40,10/19/18 2:42,10/19/18 2:47,10/19/18 2:58,BURLINGTON,5401,B,"44.4724762951,-73.2225914233"
Downtown,E1,18-0005784,EMS call,9/18/18 15:21,9/18/18 15:21,9/18/18 15:22,9/18/18 15:23,9/18/18 15:32,9/18/18 15:32,BURLINGTON,5401,B,"44.4850093592,-73.2233065009"
Downtown,E6,19-0005327,EMS call,8/29/19 3:13,8/29/19 3:13,8/29/19 3:14,8/29/19 3:15,8/29/19 3:16,8/29/19 3:27,BURLINGTON,5401,B,"44.4510103029,-73.2239447652"
Downtown,E1,18-0005788,EMS call,9/18/18 23:48,9/18/18 23:48,9/18/18 23:48,9/18/18 23:51,9/18/18 23:53,9/18/18 23:59,BURLINGTON,5401,B,"44.4803120339,-73.1977328822"
Downtown,E6,19-0007310,EMS call,11/16/19 16:24,11/16/19 16:24,11/16/19 16:24,11/16/19 16:26,11/16/19 16:29,11/16/19 16:40,BURLINGTON,5401,C,"44.4776997158,-73.1941937237"
New North End,E1,18-0005829,"Smoke detector activation (no fire), unintentional",9/20/18 7:40,9/20/18 7:40,9/20/18 7:42,9/20/18 7:45,9/20/18 7:50,9/20/18 7:57,Burlington,5401,A,"44.5055159538,-73.268769302"
Old North End,E6,19-0006434,EMS call,10/12/19 20:22,10/12/19 20:22,10/12/19 20:23,10/12/19 20:26,10/12/19 20:28,10/12/19 20:51,BURLINGTON,5401,A,"44.5011108615,-73.2403134145"
Downtown,T1,19-0003456,EMS call,6/10/19 15:10,6/10/19 15:10,6/10/19 15:10,6/10/19 15:12,6/10/19 15:13,6/10/19 15:25,BURLINGTON,5401,C,"44.4725711896,-73.2437181159"
Old North End,E6,18-0007140,"Good intent call, other",11/15/18 5:59,11/15/18 5:59,11/15/18 5:59,11/15/18 6:01,11/15/18 6:04,11/15/18 6:15,BURLINGTON,5401,C,"44.475537952,-73.204368283"
Downtown,E1,19-0002256,EMS call,4/15/19 18:30,4/15/19 18:30,4/15/19 18:30,4/15/19 18:33,4/15/19 18:34,4/15/19 18:44,BURLINGTON,5401,A,"44.4947809462,-73.224094291"
